Region,Representative Name,Medical Drug Name,No.of Drugs Sold,Month
North,Dhanush Majumdar,Drug_5,18,May
North,Dhanush Majumdar,Drug_6,5,May
North,Dhanush Majumdar,Drug_7,14,May
North,Dhanush Majumdar,Drug_8,6,May
North,Dhanush Majumdar,Drug_9,24,May
North,Dhanush Majumdar,Drug_10,17,May
North,Priyansh Sarna,Drug_1,29,May
North,Priyansh Sarna,Drug_2,40,May
North,Priyansh Sarna,Drug_3,23,May
North,Priyansh Sarna,Drug_4,10,May
North,Priyansh Sarna,Drug_5,23,May
North,Priyansh Sarna,Drug_6,22,May
North,Priyansh Sarna,Drug_7,13,May
North,Priyansh Sarna,Drug_8,42,May
North,Priyansh Sarna,Drug_9,17,May
North,Priyansh Sarna,Drug_10,44,May
North,Dhanush Varma,Drug_1,43,May
North,Dhanush Varma,Drug_2,41,May
North,Dhanush Varma,Drug_3,4,May
North,Dhanush Varma,Drug_4,38,May
North,Dhanush Varma,Drug_5,40,May
North,Dhanush Varma,Drug_6,10,May
North,Dhanush Varma,Drug_7,34,May
North,Dhanush Varma,Drug_8,46,May
North,Dhanush Varma,Drug_9,15,May
North,Dhanush Varma,Drug_10,10,May
North,Inaaya  Bassi,Drug_1,29,May
North,Inaaya  Bassi,Drug_2,24,May
North,Inaaya  Bassi,Drug_3,17,May
North,Inaaya  Bassi,Drug_4,40,May
North,Inaaya  Bassi,Drug_5,44,May
North,Inaaya  Bassi,Drug_6,35,May
North,Inaaya  Bassi,Drug_7,14,May
North,Inaaya  Bassi,Drug_8,43,May
North,Inaaya  Bassi,Drug_9,20,May
North,Inaaya  Bassi,Drug_10,49,May
North,Rasha Kakar,Drug_1,49,May
North,Rasha Kakar,Drug_2,3,May
North,Rasha Kakar,Drug_3,14,May
North,Rasha Kakar,Drug_4,2,May
North,Rasha Kakar,Drug_5,20,May
North,Rasha Kakar,Drug_6,25,May
North,Rasha Kakar,Drug_7,17,May
North,Rasha Kakar,Drug_8,4,May
North,Rasha Kakar,Drug_9,13,May
North,Rasha Kakar,Drug_10,36,May
North,Pihu Sabharwal,Drug_1,45,May
North,Pihu Sabharwal,Drug_2,20,May
North,Pihu Sabharwal,Drug_3,13,May
North,Pihu Sabharwal,Drug_4,41,May
North,Pihu Sabharwal,Drug_5,31,May
North,Pihu Sabharwal,Drug_6,25,May
North,Pihu Sabharwal,Drug_7,41,May
North,Pihu Sabharwal,Drug_8,29,May
North,Pihu Sabharwal,Drug_9,9,May
North,Pihu Sabharwal,Drug_10,16,May
North,Mamooty Boase,Drug_1,8,May
North,Mamooty Boase,Drug_2,15,May
North,Mamooty Boase,Drug_3,47,May
North,Mamooty Boase,Drug_4,35,May
North,Mamooty Boase,Drug_5,34,May
North,Mamooty Boase,Drug_6,16,May
North,Mamooty Boase,Drug_7,47,May
North,Mamooty Boase,Drug_8,37,May
North,Mamooty Boase,Drug_9,27,May
North,Mamooty Boase,Drug_10,37,May
North,Aarna Raju,Drug_1,25,May
North,Aarna Raju,Drug_2,23,May
North,Aarna Raju,Drug_3,14,May
North,Aarna Raju,Drug_4,8,May
North,Aarna Raju,Drug_5,32,May
North,Aarna Raju,Drug_6,31,May
North,Aarna Raju,Drug_7,5,May
North,Aarna Raju,Drug_8,48,May
North,Aarna Raju,Drug_9,3,May
North,Aarna Raju,Drug_10,7,May
North,Heer Deep,Drug_1,9,May
North,Heer Deep,Drug_2,40,May
North,Heer Deep,Drug_3,10,May
North,Heer Deep,Drug_4,50,May
North,Heer Deep,Drug_5,43,May
North,Heer Deep,Drug_6,27,May
North,Heer Deep,Drug_7,38,May
North,Heer Deep,Drug_8,4,May
North,Heer Deep,Drug_9,24,May
North,Heer Deep,Drug_10,24,May
North,Keya Iyengar,Drug_1,38,May
North,Keya Iyengar,Drug_2,29,May
North,Keya Iyengar,Drug_3,33,May
North,Keya Iyengar,Drug_4,16,May
North,Keya Iyengar,Drug_5,35,May
North,Keya Iyengar,Drug_6,0,May
North,Keya Iyengar,Drug_7,43,May
North,Keya Iyengar,Drug_8,46,May
North,Keya Iyengar,Drug_9,7,May
North,Keya Iyengar,Drug_10,43,May
North,Aayush Sangha,Drug_1,34,May
North,Aayush Sangha,Drug_2,48,May
North,Aayush Sangha,Drug_3,17,May
North,Aayush Sangha,Drug_4,49,May
North,Aayush Sangha,Drug_5,41,May
North,Aayush Sangha,Drug_6,21,May
North,Aayush Sangha,Drug_7,7,May
North,Aayush Sangha,Drug_8,18,May
North,Aayush Sangha,Drug_9,27,May
North,Aayush Sangha,Drug_10,10,May
North,Gatik Gulati,Drug_1,29,May
North,Gatik Gulati,Drug_2,0,May
North,Gatik Gulati,Drug_3,46,May
North,Gatik Gulati,Drug_4,46,May
North,Gatik Gulati,Drug_5,16,May
North,Gatik Gulati,Drug_6,32,May
North,Gatik Gulati,Drug_7,48,May
North,Gatik Gulati,Drug_8,11,May
North,Gatik Gulati,Drug_9,32,May
North,Gatik Gulati,Drug_10,6,May
North,Hiran Kumar,Drug_1,40,May
North,Hiran Kumar,Drug_2,19,May
North,Hiran Kumar,Drug_3,40,May
North,Hiran Kumar,Drug_4,32,May
North,Hiran Kumar,Drug_5,38,May
North,Hiran Kumar,Drug_6,12,May
North,Hiran Kumar,Drug_7,9,May
North,Hiran Kumar,Drug_8,23,May
North,Hiran Kumar,Drug_9,48,May
North,Hiran Kumar,Drug_10,10,May
North,Mishti Ranganathan,Drug_1,34,May
North,Mishti Ranganathan,Drug_2,49,May
North,Mishti Ranganathan,Drug_3,33,May
North,Mishti Ranganathan,Drug_4,0,May
North,Mishti Ranganathan,Drug_5,38,May
North,Mishti Ranganathan,Drug_6,20,May
North,Mishti Ranganathan,Drug_7,31,May
North,Mishti Ranganathan,Drug_8,1,May
North,Mishti Ranganathan,Drug_9,7,May
North,Mishti Ranganathan,Drug_10,23,May
North,Hridaan Deo,Drug_1,19,May
North,Hridaan Deo,Drug_2,15,May
North,Hridaan Deo,Drug_3,3,May
North,Hridaan Deo,Drug_4,15,May
North,Hridaan Deo,Drug_5,36,May
North,Hridaan Deo,Drug_6,5,May
North,Hridaan Deo,Drug_7,5,May
North,Hridaan Deo,Drug_8,46,May
North,Hridaan Deo,Drug_9,31,May
North,Hridaan Deo,Drug_10,4,May
North,Siya Master,Drug_1,48,May
North,Siya Master,Drug_2,34,May
North,Siya Master,Drug_3,49,May
North,Siya Master,Drug_4,8,May
North,Siya Master,Drug_5,8,May
North,Siya Master,Drug_6,42,May
North,Siya Master,Drug_7,30,May
North,Siya Master,Drug_8,35,May
North,Siya Master,Drug_9,10,May
North,Siya Master,Drug_10,16,May
North,Tarini Ganguly,Drug_1,33,May
North,Tarini Ganguly,Drug_2,38,May
North,Tarini Ganguly,Drug_3,27,May
North,Tarini Ganguly,Drug_4,13,May
North,Tarini Ganguly,Drug_5,34,May
North,Tarini Ganguly,Drug_6,48,May
North,Tarini Ganguly,Drug_7,46,May
North,Tarini Ganguly,Drug_8,44,May
North,Tarini Ganguly,Drug_9,12,May
North,Tarini Ganguly,Drug_10,45,May
North,Tushar Goel,Drug_1,19,May
North,Tushar Goel,Drug_2,25,May
North,Tushar Goel,Drug_3,42,May
North,Tushar Goel,Drug_4,41,May
North,Tushar Goel,Drug_5,23,May
North,Tushar Goel,Drug_6,28,May
North,Tushar Goel,Drug_7,33,May
North,Tushar Goel,Drug_8,28,May
North,Tushar Goel,Drug_9,7,May
North,Tushar Goel,Drug_10,15,May
South,Vritika Sangha,Drug_1,14,May
South,Vritika Sangha,Drug_2,4,May
South,Vritika Sangha,Drug_3,21,May
South,Vritika Sangha,Drug_4,1,May
South,Vritika Sangha,Drug_5,37,May
South,Vritika Sangha,Drug_6,35,May
South,Vritika Sangha,Drug_7,14,May
South,Vritika Sangha,Drug_8,37,May
South,Vritika Sangha,Drug_9,14,May
South,Vritika Sangha,Drug_10,0,May
South,Saanvi Dugar,Drug_1,4,May
South,Saanvi Dugar,Drug_2,45,May
South,Saanvi Dugar,Drug_3,40,May
South,Saanvi Dugar,Drug_4,3,May
South,Saanvi Dugar,Drug_5,14,May
South,Saanvi Dugar,Drug_6,4,May
South,Saanvi Dugar,Drug_7,2,May
South,Saanvi Dugar,Drug_8,21,May
South,Saanvi Dugar,Drug_9,4,May
South,Saanvi Dugar,Drug_10,32,May
South,Darshit Bajaj,Drug_1,15,May
South,Darshit Bajaj,Drug_2,17,May
South,Darshit Bajaj,Drug_3,42,May
South,Darshit Bajaj,Drug_4,31,May
South,Darshit Bajaj,Drug_5,13,May
South,Darshit Bajaj,Drug_6,34,May
South,Darshit Bajaj,Drug_7,8,May
South,Darshit Bajaj,Drug_8,46,May
South,Darshit Bajaj,Drug_9,36,May
South,Darshit Bajaj,Drug_10,36,May
South,Shaan Upadhyay,Drug_1,30,May
South,Shaan Upadhyay,Drug_2,15,May
South,Shaan Upadhyay,Drug_3,50,May
South,Shaan Upadhyay,Drug_4,30,May
South,Shaan Upadhyay,Drug_5,26,May
South,Shaan Upadhyay,Drug_6,12,May
South,Shaan Upadhyay,Drug_7,6,May
South,Shaan Upadhyay,Drug_8,6,May
South,Shaan Upadhyay,Drug_9,42,May
South,Shaan Upadhyay,Drug_10,27,May
South,Sara Behl,Drug_1,22,May
South,Sara Behl,Drug_2,27,May
South,Sara Behl,Drug_3,26,May
South,Sara Behl,Drug_4,29,May
South,Sara Behl,Drug_5,46,May
South,Sara Behl,Drug_6,3,May
South,Sara Behl,Drug_7,43,May
South,Sara Behl,Drug_8,41,May
South,Sara Behl,Drug_9,41,May
South,Sara Behl,Drug_10,6,May
South,Faiyaz Bose,Drug_1,3,May
South,Faiyaz Bose,Drug_2,25,May
South,Faiyaz Bose,Drug_3,46,May
South,Faiyaz Bose,Drug_4,21,May
South,Faiyaz Bose,Drug_5,6,May
South,Faiyaz Bose,Drug_6,15,May
South,Faiyaz Bose,Drug_7,12,May
South,Faiyaz Bose,Drug_8,12,May
South,Faiyaz Bose,Drug_9,34,May
South,Faiyaz Bose,Drug_10,28,May
South,Bhamini Bath,Drug_1,8,May
South,Bhamini Bath,Drug_2,27,May
South,Bhamini Bath,Drug_3,11,May
South,Bhamini Bath,Drug_4,17,May
South,Bhamini Bath,Drug_5,29,May
South,Bhamini Bath,Drug_6,15,May
South,Bhamini Bath,Drug_7,4,May
South,Bhamini Bath,Drug_8,28,May
South,Bhamini Bath,Drug_9,35,May
South,Bhamini Bath,Drug_10,6,May
South,Nitara Comar,Drug_1,3,May
South,Nitara Comar,Drug_2,41,May
South,Nitara Comar,Drug_3,34,May
South,Nitara Comar,Drug_4,0,May
South,Nitara Comar,Drug_5,5,May
South,Nitara Comar,Drug_6,48,May
South,Nitara Comar,Drug_7,15,May
South,Nitara Comar,Drug_8,10,May
South,Nitara Comar,Drug_9,26,May
South,Nitara Comar,Drug_10,31,May
South,Saksham Iyer,Drug_1,30,May
South,Saksham Iyer,Drug_2,13,May
South,Saksham Iyer,Drug_3,25,May
South,Saksham Iyer,Drug_4,3,May
South,Saksham Iyer,Drug_5,10,May
South,Saksham Iyer,Drug_6,24,May
South,Saksham Iyer,Drug_7,0,May
South,Saksham Iyer,Drug_8,24,May
South,Saksham Iyer,Drug_9,16,May
South,Saksham Iyer,Drug_10,50,May
South,Arhaan Aurora,Drug_1,50,May
South,Arhaan Aurora,Drug_2,29,May
South,Arhaan Aurora,Drug_3,18,May
South,Arhaan Aurora,Drug_4,27,May
South,Arhaan Aurora,Drug_5,44,May
South,Arhaan Aurora,Drug_6,46,May
South,Arhaan Aurora,Drug_7,50,May
South,Arhaan Aurora,Drug_8,35,May
South,Arhaan Aurora,Drug_9,42,May
South,Arhaan Aurora,Drug_10,45,May
South,Prerak Swamy,Drug_1,31,May
South,Prerak Swamy,Drug_2,9,May
South,Prerak Swamy,Drug_3,12,May
South,Prerak Swamy,Drug_4,18,May
South,Prerak Swamy,Drug_5,13,May
South,Prerak Swamy,Drug_6,3,May
South,Prerak Swamy,Drug_7,37,May
South,Prerak Swamy,Drug_8,47,May
South,Prerak Swamy,Drug_9,34,May
South,Prerak Swamy,Drug_10,3,May
South,Nayantara Garde,Drug_1,47,May
South,Nayantara Garde,Drug_2,20,May
South,Nayantara Garde,Drug_3,3,May
South,Nayantara Garde,Drug_4,3,May
South,Nayantara Garde,Drug_5,37,May
South,Nayantara Garde,Drug_6,30,May
South,Nayantara Garde,Drug_7,32,May
South,Nayantara Garde,Drug_8,33,May
South,Nayantara Garde,Drug_9,10,May
South,Nayantara Garde,Drug_10,3,May
South,Aarush Sibal,Drug_1,32,May
South,Aarush Sibal,Drug_2,5,May
South,Aarush Sibal,Drug_3,11,May
South,Aarush Sibal,Drug_4,4,May
South,Aarush Sibal,Drug_5,38,May
South,Aarush Sibal,Drug_6,4,May
South,Aarush Sibal,Drug_7,43,May
South,Aarush Sibal,Drug_8,15,May
South,Aarush Sibal,Drug_9,25,May
South,Aarush Sibal,Drug_10,7,May
South,Bhavin Contractor,Drug_1,36,May
South,Bhavin Contractor,Drug_2,15,May
South,Bhavin Contractor,Drug_3,37,May
South,Bhavin Contractor,Drug_4,38,May
South,Bhavin Contractor,Drug_5,2,May
South,Bhavin Contractor,Drug_6,39,May
South,Bhavin Contractor,Drug_7,5,May
South,Bhavin Contractor,Drug_8,26,May
South,Bhavin Contractor,Drug_9,42,May
South,Bhavin Contractor,Drug_10,37,May
South,Ojas Malhotra,Drug_1,36,May
South,Ojas Malhotra,Drug_2,33,May
South,Ojas Malhotra,Drug_3,20,May
South,Ojas Malhotra,Drug_4,16,May
South,Ojas Malhotra,Drug_5,13,May
South,Ojas Malhotra,Drug_6,42,May
South,Ojas Malhotra,Drug_7,45,May
South,Ojas Malhotra,Drug_8,20,May
South,Ojas Malhotra,Drug_9,15,May
South,Ojas Malhotra,Drug_10,16,May
South,Shlok Dewan,Drug_1,25,May
South,Shlok Dewan,Drug_2,8,May
South,Shlok Dewan,Drug_3,42,May
South,Shlok Dewan,Drug_4,41,May
South,Shlok Dewan,Drug_5,19,May
South,Shlok Dewan,Drug_6,29,May
South,Shlok Dewan,Drug_7,20,May
South,Shlok Dewan,Drug_8,48,May
South,Shlok Dewan,Drug_9,4,May
South,Shlok Dewan,Drug_10,0,May
South,Indrans Chokshi,Drug_1,29,May
South,Indrans Chokshi,Drug_2,39,May
South,Indrans Chokshi,Drug_3,36,May
South,Indrans Chokshi,Drug_4,6,May
South,Indrans Chokshi,Drug_5,4,May
South,Indrans Chokshi,Drug_6,34,May
South,Indrans Chokshi,Drug_7,13,May
South,Indrans Chokshi,Drug_8,32,May
South,Indrans Chokshi,Drug_9,16,May
South,Indrans Chokshi,Drug_10,8,May
South,Priyansh Bali,Drug_1,22,May
South,Priyansh Bali,Drug_2,4,May
South,Priyansh Bali,Drug_3,15,May
South,Priyansh Bali,Drug_4,23,May
South,Priyansh Bali,Drug_5,18,May
South,Priyansh Bali,Drug_6,10,May
South,Priyansh Bali,Drug_7,28,May
South,Priyansh Bali,Drug_8,34,May
South,Priyansh Bali,Drug_9,45,May
South,Priyansh Bali,Drug_10,19,May
South,Lakshit Sagar,Drug_1,39,May
South,Lakshit Sagar,Drug_2,41,May
South,Lakshit Sagar,Drug_3,33,May
South,Lakshit Sagar,Drug_4,0,May
South,Lakshit Sagar,Drug_5,42,May
South,Lakshit Sagar,Drug_6,35,May
South,Lakshit Sagar,Drug_7,19,May
South,Lakshit Sagar,Drug_8,42,May
South,Lakshit Sagar,Drug_9,6,May
South,Lakshit Sagar,Drug_10,8,May
South,Anahita Lalla,Drug_1,16,May
South,Anahita Lalla,Drug_2,7,May
South,Anahita Lalla,Drug_3,6,May
South,Anahita Lalla,Drug_4,47,May
South,Anahita Lalla,Drug_5,35,May
South,Anahita Lalla,Drug_6,9,May
South,Anahita Lalla,Drug_7,17,May
South,Anahita Lalla,Drug_8,18,May
South,Anahita Lalla,Drug_9,38,May
South,Anahita Lalla,Drug_10,13,May
South,Saira Vora,Drug_1,45,May
South,Saira Vora,Drug_2,21,May
South,Saira Vora,Drug_3,13,May
South,Saira Vora,Drug_4,43,May
South,Saira Vora,Drug_5,40,May
South,Saira Vora,Drug_6,16,May
South,Saira Vora,Drug_7,32,May
South,Saira Vora,Drug_8,31,May
South,Saira Vora,Drug_9,16,May
South,Saira Vora,Drug_10,3,May
South,Chirag Hans,Drug_1,5,May
South,Chirag Hans,Drug_2,40,May
South,Chirag Hans,Drug_3,27,May
South,Chirag Hans,Drug_4,17,May
South,Chirag Hans,Drug_5,2,May
South,Chirag Hans,Drug_6,0,May
South,Chirag Hans,Drug_7,21,May
South,Chirag Hans,Drug_8,49,May
South,Chirag Hans,Drug_9,8,May
South,Chirag Hans,Drug_10,40,May
South,Lavanya Arya,Drug_1,16,May
South,Lavanya Arya,Drug_2,10,May
South,Lavanya Arya,Drug_3,47,May
South,Lavanya Arya,Drug_4,28,May
South,Lavanya Arya,Drug_5,35,May
South,Lavanya Arya,Drug_6,45,May
South,Lavanya Arya,Drug_7,27,May
South,Lavanya Arya,Drug_8,35,May
South,Lavanya Arya,Drug_9,0,May
South,Lavanya Arya,Drug_10,7,May
South,Anay Shanker,Drug_1,4,May
South,Anay Shanker,Drug_2,44,May
South,Anay Shanker,Drug_3,9,May
South,Anay Shanker,Drug_4,34,May
South,Anay Shanker,Drug_5,2,May
South,Anay Shanker,Drug_6,23,May
South,Anay Shanker,Drug_7,37,May
South,Anay Shanker,Drug_8,35,May
South,Anay Shanker,Drug_9,9,May
South,Anay Shanker,Drug_10,27,May
South,Taimur Vaidya,Drug_1,8,May
South,Taimur Vaidya,Drug_2,2,May
South,Taimur Vaidya,Drug_3,19,May
South,Taimur Vaidya,Drug_4,23,May
South,Taimur Vaidya,Drug_5,50,May
South,Taimur Vaidya,Drug_6,2,May
South,Taimur Vaidya,Drug_7,22,May
South,Taimur Vaidya,Drug_8,13,May
South,Taimur Vaidya,Drug_9,43,May
South,Taimur Vaidya,Drug_10,15,May
East,Mehul Verma,Drug_1,42,May
East,Mehul Verma,Drug_2,6,May
East,Mehul Verma,Drug_3,22,May
East,Mehul Verma,Drug_4,49,May
East,Mehul Verma,Drug_5,35,May
East,Mehul Verma,Drug_6,26,May
East,Mehul Verma,Drug_7,39,May
East,Mehul Verma,Drug_8,47,May
East,Mehul Verma,Drug_9,9,May
East,Mehul Verma,Drug_10,15,May
East,Vaibhav Raju,Drug_1,10,May
East,Vaibhav Raju,Drug_2,11,May
East,Vaibhav Raju,Drug_3,26,May
East,Vaibhav Raju,Drug_4,1,May
East,Vaibhav Raju,Drug_5,11,May
East,Vaibhav Raju,Drug_6,47,May
East,Vaibhav Raju,Drug_7,21,May
East,Vaibhav Raju,Drug_8,50,May
East,Vaibhav Raju,Drug_9,26,May
East,Vaibhav Raju,Drug_10,42,May
East,Parinaaz Shanker,Drug_1,47,May
East,Parinaaz Shanker,Drug_2,15,May
East,Parinaaz Shanker,Drug_3,17,May
East,Parinaaz Shanker,Drug_4,10,May
East,Parinaaz Shanker,Drug_5,50,May
East,Parinaaz Shanker,Drug_6,44,May
East,Parinaaz Shanker,Drug_7,6,May
East,Parinaaz Shanker,Drug_8,24,May
East,Parinaaz Shanker,Drug_9,2,May
East,Parinaaz Shanker,Drug_10,30,May
East,Azad Sethi,Drug_1,14,May
East,Azad Sethi,Drug_2,12,May
East,Azad Sethi,Drug_3,29,May
East,Azad Sethi,Drug_4,22,May
East,Azad Sethi,Drug_5,19,May
East,Azad Sethi,Drug_6,50,May
East,Azad Sethi,Drug_7,14,May
East,Azad Sethi,Drug_8,14,May
East,Azad Sethi,Drug_9,1,May
East,Azad Sethi,Drug_10,42,May
East,Ranbir Karan,Drug_1,12,May
East,Ranbir Karan,Drug_2,25,May
East,Ranbir Karan,Drug_3,21,May
East,Ranbir Karan,Drug_4,17,May
East,Ranbir Karan,Drug_5,4,May
East,Ranbir Karan,Drug_6,49,May
East,Ranbir Karan,Drug_7,17,May
East,Ranbir Karan,Drug_8,22,May
East,Ranbir Karan,Drug_9,41,May
East,Ranbir Karan,Drug_10,32,May
East,Ranbir Tailor,Drug_1,25,May
East,Ranbir Tailor,Drug_2,43,May
East,Ranbir Tailor,Drug_3,34,May
East,Ranbir Tailor,Drug_4,21,May
East,Ranbir Tailor,Drug_5,1,May
East,Ranbir Tailor,Drug_6,7,May
East,Ranbir Tailor,Drug_7,16,May
East,Ranbir Tailor,Drug_8,11,May
East,Ranbir Tailor,Drug_9,37,May
East,Ranbir Tailor,Drug_10,16,May
East,Kiara Kakar,Drug_1,2,May
East,Kiara Kakar,Drug_2,6,May
East,Kiara Kakar,Drug_3,38,May
East,Kiara Kakar,Drug_4,27,May
East,Kiara Kakar,Drug_5,22,May
East,Kiara Kakar,Drug_6,46,May
East,Kiara Kakar,Drug_7,50,May
East,Kiara Kakar,Drug_8,20,May
East,Kiara Kakar,Drug_9,27,May
East,Kiara Kakar,Drug_10,38,May
East,Devansh Ramanathan,Drug_1,32,May
East,Devansh Ramanathan,Drug_2,7,May
East,Devansh Ramanathan,Drug_3,24,May
East,Devansh Ramanathan,Drug_4,36,May
East,Devansh Ramanathan,Drug_5,12,May
East,Devansh Ramanathan,Drug_6,16,May
East,Devansh Ramanathan,Drug_7,2,May
East,Devansh Ramanathan,Drug_8,45,May
East,Devansh Ramanathan,Drug_9,27,May
East,Devansh Ramanathan,Drug_10,0,May
East,Shanaya Mand,Drug_1,33,May
East,Shanaya Mand,Drug_2,34,May
East,Shanaya Mand,Drug_3,43,May
East,Shanaya Mand,Drug_4,46,May
East,Shanaya Mand,Drug_5,47,May
East,Shanaya Mand,Drug_6,47,May
East,Shanaya Mand,Drug_7,42,May
East,Shanaya Mand,Drug_8,12,May
East,Shanaya Mand,Drug_9,23,May
East,Shanaya Mand,Drug_10,27,May
East,Adira Brar,Drug_1,4,May
East,Adira Brar,Drug_2,42,May
East,Adira Brar,Drug_3,21,May
East,Adira Brar,Drug_4,39,May
East,Adira Brar,Drug_5,20,May
East,Adira Brar,Drug_6,42,May
East,Adira Brar,Drug_7,7,May
East,Adira Brar,Drug_8,46,May
East,Adira Brar,Drug_9,19,May
East,Adira Brar,Drug_10,32,May
East,Myra Chada,Drug_1,19,May
East,Myra Chada,Drug_2,42,May
East,Myra Chada,Drug_3,26,May
East,Myra Chada,Drug_4,20,May
East,Myra Chada,Drug_5,25,May
East,Myra Chada,Drug_6,44,May
East,Myra Chada,Drug_7,18,May
East,Myra Chada,Drug_8,35,May
East,Myra Chada,Drug_9,8,May
East,Myra Chada,Drug_10,12,May
East,Hiran Dasgupta,Drug_1,26,May
East,Hiran Dasgupta,Drug_2,42,May
East,Hiran Dasgupta,Drug_3,24,May
East,Hiran Dasgupta,Drug_4,43,May
East,Hiran Dasgupta,Drug_5,47,May
East,Hiran Dasgupta,Drug_6,11,May
East,Hiran Dasgupta,Drug_7,39,May
East,Hiran Dasgupta,Drug_8,36,May
East,Hiran Dasgupta,Drug_9,19,May
East,Hiran Dasgupta,Drug_10,25,May
East,Purab Reddy,Drug_1,35,May
East,Purab Reddy,Drug_2,0,May
East,Purab Reddy,Drug_3,19,May
East,Purab Reddy,Drug_4,18,May
East,Purab Reddy,Drug_5,13,May
East,Purab Reddy,Drug_6,27,May
East,Purab Reddy,Drug_7,50,May
East,Purab Reddy,Drug_8,37,May
East,Purab Reddy,Drug_9,38,May
East,Purab Reddy,Drug_10,41,May
East,Rati Mahajan,Drug_1,20,May
East,Rati Mahajan,Drug_2,29,May
East,Rati Mahajan,Drug_3,28,May
East,Rati Mahajan,Drug_4,28,May
East,Rati Mahajan,Drug_5,43,May
East,Rati Mahajan,Drug_6,13,May
East,Rati Mahajan,Drug_7,32,May
East,Rati Mahajan,Drug_8,30,May
East,Rati Mahajan,Drug_9,50,May
East,Rati Mahajan,Drug_10,50,May
East,Tanya Bajwa,Drug_1,47,May
East,Tanya Bajwa,Drug_2,10,May
East,Tanya Bajwa,Drug_3,42,May
East,Tanya Bajwa,Drug_4,5,May
East,Tanya Bajwa,Drug_5,18,May
East,Tanya Bajwa,Drug_6,32,May
East,Tanya Bajwa,Drug_7,42,May
East,Tanya Bajwa,Drug_8,40,May
East,Tanya Bajwa,Drug_9,39,May
East,Tanya Bajwa,Drug_10,21,May
East,Amani Agarwal,Drug_1,5,May
East,Amani Agarwal,Drug_2,48,May
East,Amani Agarwal,Drug_3,15,May
East,Amani Agarwal,Drug_4,43,May
East,Amani Agarwal,Drug_5,19,May
East,Amani Agarwal,Drug_6,14,May
